"player","team"
"George, Paul","IND"
"Hibbert, Roy","IND"
"Hill, George",IND
"Hill, Solomon",IND
"Mahinmi, Ian",IND
"Scola, Luis",IND
"Stephenson, Lance",IND
"Watson, CJ",IND
"West, David",IND
"Afflalo, Arron",ORL
"Harkless, Maurice",ORL
"Jones, Solomon",ORL
"Maxiell, Jason",ORL
"Moore, E'Twaun",ORL
"Nelson, Jameer",ORL
"Nicholson, Andrew",ORL
"O'Quinn, Kyle",ORL
"Oladipo, Victor",ORL
"Price, Ronnie",ORL
"Vucevic, Nikola",ORL
"Boozer, Carlos",CHI
"Butler, Jimmy",CHI
"Dunleavy, Mike",CHI
"Gibson, Taj",CHI
"Hinrich, Kirk",CHI
"Noah, Joakim",CHI
"Rose, Derrick",CHI
"Snell, Tony",CHI
"Allen, Ray",MIA
"Andersen, Chris",MIA
"Battier, Shane",MIA
"Bosh, Chris",MIA
"Chalmers, Mario",MIA
"Cole, Norris",MIA
"Haslem, Udonis",MIA
"James, LeBron",MIA
"Wade, Dwyane",MIA
"Barnes, Matt",LAC
"Bullock, Reggie",LAC
"Collison, Darren",LAC
"Crawford, Jamal",LAC
"Dudley, Jared",LAC
"Griffin, Blake",LAC
"Hollins, Ryan",LAC
"Jordan, DeAndre",LAC
"Paul, Chris",LAC
"Redick, JJ",LAC
"Farmar, Jordan",LAL
"Gasol, Pau",LAL
"Henry, Xavier",LAL
"Hill, Jordan",LAL
"Johnson, Wesley",LAL
"Kaman, Chris",LAL
"Meeks, Jodie",LAL
"Nash, Steve",LAL
"Williams, Shawne",LAL
"Young, Nick",LAL
"Anderson, Alan",BKN
"Blatche, Andray",BKN
"Garnett, Kevin",BKN
"Johnson, Joe",BKN
"Livingston, Shaun",BKN
"Lopez, Brook",BKN
"Pierce, Paul",BKN
"Terry, Jason",BKN
"Williams, Deron",BKN
"Bennett, Anthony",CLE
"Gee, Alonzo",CLE
"Irving, Kyrie",CLE
"Jack, Jarrett",CLE
"Miles, CJ",CLE
"Thompson, Tristan",CLE
"Varejao, Anderson",CLE
"Waiters, Dion",CLE
"Anderson, James",PHI
"Carter-Williams, Michael",PHI
"Orton, Daniel",PHI
"Wroten, Tony",PHI
"Young, Thaddeus",PHI
"Allen, Ray",MIA
"Andersen, Chris",MIA
"Battier, Shane",MIA
"Bosh, Chris",MIA
"Chalmers, Mario",MIA
"Cole, Norris",MIA
"Haslem, Udonis",MIA
"James, LeBron",MIA
"Lewis, Rashard",MIA
"Mason Jr., Roger",MIA
"Bass, Brandon",BOS
"Bradley, Avery",BOS
"Faverani, Vitor",BOS
"Green, Jeff",BOS
"Humphries, Kris",BOS
"Olynyk, Kelly",BOS
"Pressey, Phil",BOS
"Wallace, Gerald",BOS
"DeRozan, DeMar",TOR
"Fields, Landry",TOR
"Hansbrough, Tyler",TOR
"Johnson, Amir",TOR
"Lowry, Kyle",TOR
"Novak, Steve",TOR
"Ross, Terrence",TOR
"Valanciunas, Jonas",TOR
"Billups, Chauncey",DET
"Bynum, Will",DET
"Caldwell-Pope, Kentavious",DET
"Drummond, Andre",DET
"Jerebko, Jonas",DET
"Monroe, Greg",DET
"Singler, Kyle",DET
"Smith, Josh",DET
"Ariza, Trevor",WAS
"Beal, Bradley",WAS
"Booker, Trevor",WAS
"Gortat, Marcin",WAS
"Harrington, Al",WAS
"Seraphin, Kevin",WAS
"Temple, Garrett",WAS
"Wall, John",WAS
"Webster, Martell",WAS
"Biyombo, Bismack",CHA
"Henderson, Gerald",CHA
